Code,Entity,PredefinedType,Name,Entity_NL,Definition,Definition_NL,Description_NL,ParentClassCode,Uid,Domain
IfcActuator,IfcActuator,,Actuator,Actuator,"An actuator is a mechanical device for moving or controlling a mechanism or system. An actuator takes energy, usually created by air, electricity, or liquid, and converts that into some kind of motion.; >","Een actuator is een mechanisch apparaat voor het verplaatsen of beheren van een mechanisme of systeem. Een actuator gebruikt energie, meestal gemaakt door lucht, elektriciteit of vloeistof, en zet die om in een beweging.",,IfcDistributionControlElement,88e31a97-fc93-413c-9a8f-f55d4f201c19,IfcBuildingControlsDomain
IfcAlarm,IfcAlarm,,Alarm,Alarm,An alarm is a device that signals the existence of a condition or situation that is outside the boundaries of normal expectation or that activates such a device.; Alarms include the provision of break glass buttons and manual pull boxes that are used to activate alarms.; >,Een alarm is een apparaat dat het bestaan van een voorwaarde of situatie aangeeft die buiten de normale verwachting ligt of die een dergelijk apparaat activeert.,,IfcDistributionControlElement,90995dc8-ff72-4331-bff5-af4591a13d27,IfcBuildingControlsDomain
IfcController,IfcController,,Controller,Regelaar,A controller is a device that monitors inputs and controls outputs within a building automation system.; A controller may be physical (having placement within a spatial structure) or logical (a software interface or aggregated within a programmable physical controller).; >,Een controller is een apparaat dat inputs en besturingselementen binnen een automatiesysteem van gebouwen controleert.,,IfcDistributionControlElement,7afb752b-f1c9-4813-83a7-ed6599f5cfa0,IfcBuildingControlsDomain
IfcFlowInstrument,IfcFlowInstrument,,Flow Instrument,Stroom Instrument,"A flow instrument reads and displays the value of a particular property of a system at a point, or displays the difference in the value of a property between two points.; Instrumentation is typically for the purpose of determining the value of the property at a point in time. It is not the purpose of an instrument to record or integrate the values over time (although they may be connected to recording devices that do perform such a function). This entity provides for all forms of mechanical flow instrument (thermometers, pressure gauges etc.) and electrical flow instruments (ammeters, voltmeters etc.); >",Een debietinstrument leest en geeft de waarde weer van een bepaalde eigenschap van een systeem op een punt. of toont het verschil in de waarde van een eigenschap tussen twee punten.,,IfcDistributionControlElement,67624ad3-5d2e-4f19-abe4-c8abfa34fd54,IfcBuildingControlsDomain
IfcSensor,IfcSensor,,Sensor,Sensor,A sensor is a device that measures a physical quantity and converts it into a signal which can be read by an observer or by an instrument.; >,Een sensor is een apparaat dat een fysieke hoeveelheid meet en deze omzet in een signaal dat kan worden gelezen door een waarnemer of door een instrument.,,IfcDistributionControlElement,f8dc24f1-371f-42ce-af2b-1102b868f220,IfcBuildingControlsDomain
IfcUnitaryControlElement,IfcUnitaryControlElement,,Unitary Control Element,Unitary Control Element,"A unitary control element combines a number of control components into a single product, such as a thermostat or humidistat.; A unitary control element provides a housing for an aggregation of control or electrical distribution elements that, in combination, perform a singular (unitary) purpose. Each item in the aggregation may have its own geometric representation and location.; >","Een unitary control element combineert een aantal control componenten in één product, zoals een thermostaat of humidistat.",,IfcDistributionControlElement,cfc09c9c-67e9-4354-9a3c-87e3d2f14839,IfcBuildingControlsDomain
IfcPerformanceHistory,IfcPerformanceHistory,,Performance History,Prestatie Geschiedenis,"_IfcPerformanceHistory_ is used to document the actual performance of an occurrence instance over time. It includes machine-measured data from building automation systems and human-specified data such as task and resource usage. The data may represent actual conditions, predictions, or simulations.; The realtime data tracked by performance history takes the form of property sets where all properties are based on time series. Unlike design-based data at occurrences and types, performance-driven data is time-sensitive and may change in realtime by some measurement device. Data may be captured at irregular intervals such as when values change beyond established thresholds, or at regular intervals of specified duration.; Declaration use definition; _IfcPerformanceHistory_ may be declared within a project using _IfcRelDeclares_ where _RelatingContext_ refers to the _IfcProject_ and _RelatedDefinitions_ includes the _IfcPerformanceHistory_. Default units (used for property sets) are indicated by the declaring project. Only top-level objects are declared; nested performance history objects (through _IfcRelNests_) do not participate in such relationship.; >","[[IfcPerformanceHistory]] wordt gebruikt om de werkelijke prestaties van een gebeurtenis na verloop van tijd te documenteren. Het omvat machine-gemeten gegevens uit het bouwen van automatiseringssystemen en personele gegevens zoals taak en hulpbron. De gegevens kunnen werkelijke omstandigheden, voorspellingen of simulaties weergeven.",,IfcControl,e8ca45f2-cf0b-4a93-84ca-ea3c10c7b27e,IfcControlExtension
IfcAudioVisualAppliance,IfcAudioVisualAppliance,,Audio Visual Appliance,Audio-visumapparaat,"An audio-visual appliance is a device that displays, captures, transmits, or receives audio or video.; Audio-visual appliances may be fixed in place or may be able to be moved from one space to another. They may require an electrical supply that may be supplied either by an electrical circuit or provided from a local battery source. Audio-visual appliances may be connected to data circuits including specialist circuits for audio visual purposes only.; >","Een audiovisueel apparaat is een apparaat dat opnames, zendingen, audio of video weergeeft.",,IfcFlowTerminal,d4cea3d5-466c-4f2b-99e8-9c0c621d5d69,IfcElectricalDomain
IfcCableCarrierFitting,IfcCableCarrierFitting,,Cable Carrier Fitting,Kabeldrager koppelstuk,A cable carrier fitting is a fitting that is placed at junction or transition in a cable carrier system.; >,Een kabeldrager is een pasvorm die op een kruispunt of overgang in een kabelvervoersysteem wordt geplaatst.,,IfcFlowFitting,47539a87-e549-4786-85f9-b5b8c8fb705b,IfcElectricalDomain
IfcCableCarrierSegment,IfcCableCarrierSegment,,Cable Carrier Segment,Kabeldrager segment,A cable carrier segment is a flow segment that is specifically used to carry and support cabling.; >,Een kabelbaan is een stroomsegment dat specifiek wordt gebruikt om kabels te dragen en te ondersteunen.,,IfcFlowSegment,cbe43c1f-9ddd-4279-bb40-699045a1e748,IfcElectricalDomain
